Date,Hot,Cold,Beans,Total,Barista
1,90,995,,1085,Pen
2,180,200,,380,Pen
3,315,235,1400,1950,Pen
4,630,240,250,1120,Pen
5,265,450,,715,Pen
6,35,355,,390,Pen
7,180,450,,630,Pen
8,45,510,1100,1655,Jane
9,90,370,,460,Jane
10,125,310,,435,Jane
11,85,435,1450,1970,Jane
12,85,715,250,1050,Film
13,215,520,,735,Film
14,360,150,250,760,Sonja
15,90,365,250,705,Sonja
16,,,3050,3050,Sonja
17,40,415,,455,Sonja
18,,,,0,
19,,620,,620,Sonja
20,135,560,700,1395,Sonja
21,,350,,350,Jane
22,,300,,300,Jane
23,85,195,500,780,Jane
24,,315,,315,Jane
25,45,455,,500,Jane
26,135,965,,1100,Mee+
27,135,585,750,1470,Mee+
28,40,210,4500,4750,Kwang
Total,3405,11270,14450,29125,
